Date: 2019-06-14 09:59:56
Test: /usr/local/lib/perl5/site_perl/5.30.0/PerlBench/benchmarks/arith/mixed.t
Perl: /usr/local/bin/cperl5.26.5-nt 5.026005
Cycles: 23223540
User-Time: 12.8
System-Time: 0
Real-Time: 12.807
CPU: 100%
Cycles-Per-Sec: 1814339
Empty-Cycles-Per-Sec: 22005881
Loop-Overhead: 8.2%
Adjusted-Used-Time: 11.7446666552455
Bench-Points: 85.145
