Date: 2019-06-14 10:17:10
Test: /usr/local/lib/perl5/site_perl/5.30.0/PerlBench/benchmarks/array/shift.t
Perl: /usr/local/bin/perl5.6.2-nt 5.006002
Cycles: 11611770
User-Time: 17.66
System-Time: 0
Real-Time: 18
CPU: 98%
Cycles-Per-Sec: 657518
Empty-Cycles-Per-Sec: 19256667
Loop-Overhead: 3.4%
Adjusted-Used-Time: 17.0570000104379
Bench-Points: 58.627
