Date: 2016-11-01 19:15:02
Test: ./benchmarks/array/copy.t
Perl: /usr/local/bin/cperl5.24.0-nt 5.024000
Cycles: 1393908
User-Time: 8.7
System-Time: 0.01
Real-Time: 8.722
CPU: 100%
Cycles-Per-Sec: 160035
Empty-Cycles-Per-Sec: 26250621
Loop-Overhead: 0.6%
Adjusted-Used-Time: 8.65689999905145
Bench-Points: 115.51
